<BEGIN>;;;;;;;;;;;;;;
<Hydro reservoirs>;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in bypass (h)
16;A. S. OLIVEIRA;7.94;24.3;MARIMBONDO;72;TRUE;573;573;2984;Paraná;Yes;0;0;0
153;SÃO DOMINGOS;112.31;131.3;P. PRIMAVERA;20;TRUE;344;345;931.6;Paraná;Yes;0;0;0
117;GUARAPIRANGA;0.77;189.96;TRAIÇÃO;0;TRUE;724.5;736.62;5000;Paraná;No;0;0;0
118;BILLINGS;0.98;1132.65;PEDREIRA;0;FALSE;728;746.5;10000;Paraná;No;HENRY BORDEN;70000;0
109;PEDREIRA;0.1;1;TRAIÇÃO;0;TRUE;720.35;722.15;10000;Paraná;Yes;0;0;0
108;TRAIÇÃO;0.1;1;EDGARD DE SOUZA;0;TRUE;715.35;717.15;3500;Paraná;No;0;0;0
107;EDGARD DE SOUZA;0.1;1;BARRA BONITA;0;TRUE;706.15;717.15;4000;Paraná;No;0;0;0
37;BARRA BONITA;569;3135;BARIRI;12;FALSE;439.5;451.5;3500;Paraná;Yes;0;0;0
38;BARIRI;482;541.93;IBITINGA;6;TRUE;427.5;427.5;4136;Paraná;Yes;0;0;0
39;IBITINGA;925;980.77;PROMISSÃO;6;TRUE;404;404;5000;Paraná;Yes;0;0;0
40;PROMISSÃO;5280;7407.3;N.AVANHANDAVA;6;FALSE;379.7;384;5000;Paraná;Yes;0;0;0
42;N.AVANHANDAVA;2342;2720;TRES IRMAOS;7;TRUE;358;358;5000;Paraná;Yes;0;0;0
119;HENRY BORDEN;1;1;0;0;TRUE;728.75;728.75;5000;Paraná;No;0;0;0
47;JURUMIRIM;3842.9;7007.52;PIRAJU;1;FALSE;559.7;568;2572;Paraná;Yes;0;0;0
48;PIRAJU;89.87;114.09;CHAVANTES;5;TRUE;531.5;531.5;3505;Paraná;Yes;0;0;0
249;OURINHOS;18.68;22.34;L. N. GARCEZ;2;TRUE;398;398;3700;Paraná;No;0;0;0
50;L. N. GARCEZ;15.14;44.5;CANOAS II;2;TRUE;384.67;384.67;5000;Paraná;Yes;0;0;0
51;CANOAS II;151;151;CANOAS I;1;TRUE;366;366;5644;Paraná;Yes;0;0;0
52;CANOAS I;212;212;CAPIVARA;5;TRUE;351;351;5736;Paraná;Yes;0;0;0
