<BEGIN>;;;;;;;;;;;;
<Hydro turbines>;;;;;;;;;;;;
Name;Hydro reservoir ID;Hydro reservoir name;Group ID;Group name;Unit ID;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Comments
G4-JIRAU;285;JIRAU;1;MD;4;7051;23;75;230;538;Bulbo;
G5-JIRAU;285;JIRAU;1;MD;5;7051;23;75;230;538;Bulbo;
G6-JIRAU;285;JIRAU;1;MD;6;7051;23;75;230;538;Bulbo;
G7-JIRAU;285;JIRAU;1;MD;7;7051;23;75;230;538;Bulbo;
G8-JIRAU;285;JIRAU;1;MD;8;7051;23;75;230;538;Bulbo;
G9-JIRAU;285;JIRAU;1;MD;9;7051;23;75;230;538;Bulbo;
G10-JIRAU;285;JIRAU;1;MD;10;7051;23;75;230;538;Bulbo;
G11-JIRAU;285;JIRAU;1;MD;11;7051;23;75;230;538;Bulbo;
G12-JIRAU;285;JIRAU;1;MD;12;7051;23;75;230;538;Bulbo;
G13-JIRAU;285;JIRAU;1;MD;13;7051;23;75;230;538;Bulbo;
G14-JIRAU;285;JIRAU;1;MD;14;7051;23;75;230;538;Bulbo;
G15-JIRAU;285;JIRAU;1;MD;15;7051;23;75;230;538;Bulbo;
G16-JIRAU;285;JIRAU;1;MD;16;7051;23;75;230;538;Bulbo;
G17-JIRAU;285;JIRAU;1;MD;17;7051;23;75;230;538;Bulbo;
G18-JIRAU;285;JIRAU;1;MD;18;7051;23;75;230;538;Bulbo;
G19-JIRAU;285;JIRAU;1;MD;19;7051;23;75;230;538;Bulbo;
G20-JIRAU;285;JIRAU;1;MD;20;7051;23;75;230;538;Bulbo;
G21-JIRAU;285;JIRAU;1;MD;21;7051;23;75;230;538;Bulbo;
G22-JIRAU;285;JIRAU;1;MD;22;7051;23;75;230;538;Bulbo;
G23-JIRAU;285;JIRAU;1;MD;23;7051;23;75;230;538;Bulbo;
G24-JIRAU;285;JIRAU;1;MD;24;7051;23;75;230;538;Bulbo;
G25-JIRAU;285;JIRAU;1;MD;25;7051;23;75;230;538;Bulbo;
G26-JIRAU;285;JIRAU;1;MD;26;7051;23;75;230;538;Bulbo;
G27-JIRAU;285;JIRAU;1;MD;27;7051;23;75;230;538;Bulbo;
G28-JIRAU;285;JIRAU;1;MD;28;7051;23;75;230;538;Bulbo;
G29-JIRAU;285;JIRAU;1;MD;29;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G30-JIRAU;285;JIRAU;1;MD;30;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G31-JIRAU;285;JIRAU;1;MD;31;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G32-JIRAU;285;JIRAU;1;MD;32;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G33-JIRAU;285;JIRAU;1;MD;33;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G34-JIRAU;285;JIRAU;1;MD;34;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G35-JIRAU;285;JIRAU;1;MD;35;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G36-JIRAU;285;JIRAU;1;MD;36;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G37-JIRAU;285;JIRAU;1;MD;37;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G38-JIRAU;285;JIRAU;1;MD;38;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G39-JIRAU;285;JIRAU;1;MD;39;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G40-JIRAU;285;JIRAU;1;MD;40;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G41-JIRAU;285;JIRAU;1;MD;41;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G42-JIRAU;285;JIRAU;1;MD;42;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
G43-JIRAU;285;JIRAU;1;MD;43;7061;23;75;230;538;Bulbo;The group has been changed after network reduction
